¿dónde puedo ver el pensum de ingeniería de sistemas?,Puedes encontrarlo en el sitio oficial.
¿cuándo son las inscripciones?,Las inscripciones se abren en febrero y agosto.
¿puedo inscribirme en línea?,Sí mediante el sistema académico SIA.
¿cuánto cuesta el certificado de notas?,El certificado de notas cuesta aproximadamente 30 Bs.
¿dónde puedo ver el pensum de ingeniería de sistemas?,El pensum está disponible en la web de la facultad.
¿dónde se paga matrícula?,En caja de la facultad o por banca en línea.
¿cómo puedo obtener una beca?,Puedes solicitarla en Bienestar Estudiantil con tu kardex actualizado.
¿qué es la modalidad de titulación directa?,Es un proceso de titulación rápida sin defensa.
¿cómo me postulo a delegado estudiantil?,Debes inscribirte en Secretaría Académica con tu historial académico.
¿puedo estudiar en la noche?,Sí hay horarios nocturnos disponibles.
¿quién firma el título universitario?,El Rector y el Decano de Facultad.
¿dónde está secretaría académica?,Está en el segundo nivel del bloque.
¿puedo estudiar en la noche?,Claro que sí.
¿qué es el pab?,Es el Programa de Apoyo al Bachiller.
¿qué necesito para el título en provisión nacional?,Certificado de conclusión de estudios y trámite en el Rectorado.
¿qué requisitos hay para titularme?,Debes aprobar todas las materias y presentar tu proyecto final.
¿Cómo obtengo el certificado de notas?,En caja de la Facultad.
¿Dónde saco mi certificado?,En caja de la Facultad.
¿Dónde pido certificado de notas?,En caja de la Facultad.
